xid,name,url,stars,wikipedia,image,address,kinds,lon,lat
W278805151,Chiesa di San Francesco di Paola,http://www.sanfrancescodipaola-palermo.it/,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Francesco%20di%20Paola%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Chiesa_di_San_Francesco_di_Paola_%28Palermo%29_-_Esterno1.JPG,Palermo Via Sant'Oliva SIC PA VIII Circoscrizione Italia 90139 it ,"religion,churches,interesting_places,catholic_churches",13.352849006652832,38.12184143066406
W279886914,Chiesa di Sant'Orsola,null,null,https://en.wikipedia.org/wiki/Sant%27Orsola%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Chiesa_di_Sant%27Orsola%2C_Palermo_-_facciata.JPG,Palermo Vicolo Chiesa Sant'Orsola SIC PA I Circoscrizione Italia 90140 it Albergheria ,"religion,churches,interesting_places,catholic_churches",13.362969398498535,38.11296844482422
W143736591,Oratorio del Rosario di Santa Cita,https://turismo.comune.palermo.it/palermo-welcome-luogo-dettaglio.php?tp=68&det=16&id=61,null,https://it.wikipedia.org/wiki/Oratorio%20del%20Rosario%20di%20Santa%20Cita,https://commons.wikimedia.org/wiki/File:Oratorio_di_Santa_Cita.JPG,Palermo Via Lampedusa SIC PA I Circoscrizione Italia 90133 it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.36308479309082,38.12077331542969
W279323274,Santissima Trinità alla Zisa,null,null,https://it.wikipedia.org/wiki/Chiesa%20della%20Santissima%20Trinit%C3%A0%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Capella_della_santissima_Trinit%C3%A0_alla_Zisa.jpg,Palermo Via Giuseppe Whitaker SIC PA V Circoscrizione Italia 90138 it Olivuzza ,"religion,churches,interesting_places,other_churches",13.341064453125,38.11744689941406
W49786081,Chiesa di Sant'Ignazio all'Olivella,null,null,https://en.wikipedia.org/wiki/Sant%27Ignazio%20all%27Olivella,https://commons.wikimedia.org/wiki/File:Chiesa_di_Sant%27Ignazio_all%27Olivella_Palermo.JPG,Palermo SIC PA I Circoscrizione Italia it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.360576629638672,38.120582580566406
W82238244,Convento San Giovanni Battista,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Giovanni%20Battista%20%28Baida%29,https://commons.wikimedia.org/wiki/File:KlosterBaida02.jpg,Palermo Via Al Convento di Baida SIC PA IV Circoscrizione Italia 90136 it Baida ,"religion,churches,interesting_places,catholic_churches",13.297074317932129,38.11461639404297
W49750035,Chiesa del Santissimo Salvatore,null,null,https://en.wikipedia.org/wiki/Santissimo%20Salvatore%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Palermo-03.jpg,Palermo Via Santissimo Salvatore SIC PA I Circoscrizione Italia 90134 it Albergheria ,"religion,churches,interesting_places,catholic_churches",13.358744621276855,38.114376068115234
W49863590,Chiesa di Sant'Anna la Misericordia,null,null,https://en.wikipedia.org/wiki/Sant%27Anna%20la%20Misericordia,https://commons.wikimedia.org/wiki/File:Chiesa_di_Sant%27Anna_%28Palermo%29_-_Facciata.JPG,Palermo Monkey SIC PA I Circoscrizione Italia 90133 Piazza Sant'Anna it 19 Kalsa ,"religion,churches,interesting_places,catholic_churches",13.365132331848145,38.1153678894043
W86877286,Chiesa di San Giorgio dei Genovesi,null,null,https://en.wikipedia.org/wiki/San%20Giorgio%20dei%20Genovesi%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Chiesa_San_Giorgio_dei_Genovesi_%28Palermo%29.jpg,Palermo Piazza San Giorgio dei Genovesi SIC PA I Circoscrizione Italia 90133 it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.364429473876953,38.12175369262695
W49790462,Chiesa di Santa Cita,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Cita,https://commons.wikimedia.org/wiki/File:Palermo-Santa-Cita-bjs2007-01.jpg,Palermo Via Valverde SIC PA I Circoscrizione Italia 90133 it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.363541603088379,38.12100601196289
